Navn;Land;Rang;Position;Pris;Markedsværdi (EUR);Værdi-indeks;Popularitet;Ude af spil;Program R1-3;Runde 1;Runde 2;Runde 3;Runde 4;Runde 5;Runde 6;Runde 7;Runde 8
Nicolas Jackson;Senegal;13;Angreb;4500000;40000000;8.89;0.0012740393557266673;Nej;2.3;Frankrig 16/6;Norge 23/6;Irak 26/6;;;;;
Brahim Diaz;Marokko;11;Angreb;4500000;35000000;7.78;0.014339917419930811;Nej;2.0;Brasilien 13/6;Skotland 19/6;Haiti 24/6;;;;;
Romelu Lukaku;Belgien;9;Angreb;4500000;6000000;1.33;0.014572406353457575;Nej;1.0;Egypten 15/6;Iran 21/6;New Zealand 27/6;;;;;
Edin Dzeko;Bosnien-Hercegovina;31;Angreb;4500000;1000000;0.22;0.004129003459435331;Nej;1.7;Canada 12/6;Schweiz 18/6;Qatar 24/6;;;;;
Luis Suarez Charris;Colombia;22;Angreb;4500000;30000000;6.67;0.023760369006435293;Nej;2.0;Usbekistan 18/6;Congo DR 24/6;Portugal 27/6;;;;;
Raul Jimenez;Mexico;26;Angreb;4500000;3000000;0.67;0.03469664843953428;Nej;1.3;Sydafrika 11/6;Sydkorea 19/6;Tjekkiet 25/6;;;;;
Matheus Cunha;Brasilien;6;Angreb;4500000;75000000;16.67;0.023313990254063905;Nej;2.0;Marokko 13/6;Haiti 20/6;Skotland 24/6;;;;;
Nico Williams;Spanien;3;Angreb;4500000;40000000;8.89;0.0613863780084068;Nej;1.3;Kap Verde 15/6;Saudi-Arabien 21/6;Uruguay 27/6;;;;;
Donyell Malen;Holland;7;Angreb;4500000;45000000;10.0;0.010424803779340103;Nej;2.0;Japan 14/6;Sverige 20/6;Tunesien 25/6;;;;;
Randal Kolo Muani;Frankrig;1;Angreb;4500000;30000000;6.67;9.299557341070565e-06;Ja;2.3;Senegal 16/6;Irak 22/6;Norge 26/6;;;;;
Ivan Perisic;Kroatien;16;Angreb;4500000;1200000;0.27;0.0023806866793140645;Nej;2.0;England 17/6;Panama 23/6;Ghana 27/6;;;;;
Marko Arnautovic;Østrig;24;Angreb;4500000;2000000;0.44;0.007718632593088569;Nej;2.0;Jordan 17/6;Argentina 22/6;Algeriet 28/6;;;;;
João Felix;Portugal;5;Angreb;4500000;28000000;6.22;0.011503552430904288;Nej;1.7;Congo DR 17/6;Usbekistan 23/6;Colombia 27/6;;;;;
